"Page","Item name","Description","Image URL","CTA text","Destination URL","Booking account"
"(homepage)","3 Hearts Set","Make a bold statement with our Adonis Blue flower wall. This striking selection features deep blue and purple flowers for a dramatic effect.","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/Red-8-foot-heart-flower-arch-and-two-6.5-foot-arch.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123104","Proposal Perfection NYC (CORRECT)"
"(homepage)","Cloud 9","Make a bold statement with our Adonis Blue flower wall. This striking selection features deep blue and purple flowers for a dramatic effect.","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/cream-heart-flower-arch-rental-san-francisco-bay-area-1.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123109","Proposal Perfection NYC (CORRECT)"
"(homepage)","Rosie","Bring a touch of nostalgia to your event with our Mourning Clock flower wall. This elegant selection features vintage-inspired black and white blooms for a timeless look.","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/oval-arch.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123098","Proposal Perfection NYC (CORRECT)"
"(homepage)","Mrs. Gladys","Bring a touch of nostalgia to your event with our Mourning Clock flower wall. This elegant selection features vintage-inspired black and white blooms for a timeless look.","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/cream-flower-arch-rental-san-francisco-bay-area.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123097","Proposal Perfection NYC (CORRECT)"
"(homepage)","Halo","Elevate your event with our Pavon flower wall. This luxurious selection features regal blue and purple blooms for a touch of opulence.","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/White-circle-flower-arch-rental-with-Marry-Me-Sign.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123099","Proposal Perfection NYC (CORRECT)"
"(homepage)","Monterey","Bring a touch of paradise to your event with our Hawaiian flower wall. This tropical selection features vibrant pink, yellow and orange hues for a beachy vibe.","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/Green-and-White-half-flower-arch.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123083","Proposal Perfection NYC (CORRECT)"
"(homepage)","Abigail","Bring elegance to your event with our viceroy flower wall backdrop. This classic selection features a variety of white and pastel blooms for a timeless look.","https://proposalperfectionnyc.com/wp-content/uploads/2024/09/red-luxury-flowerwall-long-copy-1100-1-700x700.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=61435","Proposal Perfection NYC (CORRECT)"
"(homepage)","Monarch","Bring elegance to your event with our viceroy flower wall backdrop. This classic selection features a variety of white and pastel blooms for a timeless look.","https://proposalperfectionnyc.com/wp-content/uploads/2024/09/mulit-rose-flower-wall-rentals-1-700x700.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=61461","Proposal Perfection NYC (CORRECT)"
"(homepage)","Cold Sparks","Add a touch of grace and elegance to your event with our Abigail flower wall backdrop. This classic selection features soft pink","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/cold-sparks-copy.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123092","Proposal Perfection NYC (CORRECT)"
"(homepage)","Confetti Machine","Make a grand entrance with our Monarch flower backdrop. This regal selection features bold orange and black blooms for a striking effect.","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/confetti-add-ons.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123134","Proposal Perfection NYC (CORRECT)"
"(homepage)","Floral Runners","Make a statement with our American Lady flower wall. This bold selection features a combination of red, white and blue blooms for a patriotic look.","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/92-1_2.png","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123091","Proposal Perfection NYC (CORRECT)"
"(homepage)","Custom Packages","Make a statement with our American Lady flower wall. This bold selection features a combination of red, white and blue blooms for a patriotic look.","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/Custom-packages.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123086","Proposal Perfection NYC (CORRECT)"
"(homepage)","Marriage Proposal Services","Contact us today—we’d love to hear how we can help turn your event’s ambiance into a true work of art with our event rentals NYC and our exquisite flower wall rentals. Our team of experienced design specialists is committed to curating stunning elements that will make your event unforgettable. Let us bring your vision to life with creativity and elegance!","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/Give-us-a-ring-1.png","Lets Chat!","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?package_group_id=32605","Flower Wall Rentals (Atlanta) — WRONG BRAND"
"corporate-events-3","Magically Booth","Mirror, mirror, on the wall, who’s the fairest of them all? Your guests will feel like they’re in a fairy tale with this interactive digital experience that is colorful, trendy, and vibrant. Don’t miss out on one of the hottest photo booth trends for weddings and events!","https://proposalperfectionnyc.com/wp-content/uploads/2022/12/mirror-photo-booth.png","Inquire Now","https://new-jersey-flower-wall-photo-booth-rentals.checkcherry.com/reservation/set_event?event_category_id=18120","New Jersey Flower Wall & Photo Booth Rentals — WRONG BRAND"
"corporate-events-3","Connect with Us","Contact the team at NYC Flowers Rental to discuss how we can bring your event to life with the best event solutions in South Jersey!","https://proposalperfectionnyc.com/wp-content/themes/dt-the7/inc/presets/images/full/skin11r.bottom-bar-logo-regular.png","Lets Chat!","https://new-jersey-flower-wall-photo-booth-rentals.checkcherry.com/reservation/set_event?event_category_id=18120","New Jersey Flower Wall & Photo Booth Rentals — WRONG BRAND"
"customsigns","Custom Signs New York","Make a lasting impression with our bespoke custom signs in NYC, designed to elevate your marriage proposal with elegance and personal flair. From bold neon signs to timeless handcrafted designs, our signage options add a unique, romantic touch to any setting, helping you say “Will You Marry Me?” in a way that truly reflects your style.","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/Our-offerings.png","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/contact/11423","Proposal Perfection NYC (CORRECT)"
"customsigns","Neon Signs","Give your event a glow up with custom neon signs that add fresh and fun energy. Make a display wall pop with brilliant neon color, or add radiance to your wedding with a custom neon sign just for you. Neon signs can be combined with our fabulous flower walls to really make heads turn!","https://proposalperfectionnyc.com/wp-content/uploads/2023/01/signs.png","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=89139","Proposal Perfection NYC (CORRECT)"
"customsigns","Acrylic Signs","Acrylic signs are a cost-effective custom signage option for corporate events and conventions, whether you need no-nonsense directional signs, custom acrylic logo signs, or tabletop signage. Help your attendees avoid confusion and get where they need to go with custom acrylic signs.","https://proposalperfectionnyc.com/wp-content/uploads/2023/01/9D31BF9F-9D90-45DC-9133-068147831644-800x800.jpeg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=89141","Proposal Perfection NYC (CORRECT)"
"customsigns","Wooden Signs","Our custom wooden signs add a rustic, natural element to your wedding, outdoor event, anniversary celebration, or other special event. When you need a sign that is simple yet sophisticated, our chic and modern wooden signs provide the perfect fit.","https://proposalperfectionnyc.com/wp-content/uploads/2023/01/wood-signs.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=89140","Proposal Perfection NYC (CORRECT)"
"customsigns","Ceremony Signs","The biggest day of your life deserves custom signs that are as unique as your own love story. When you walk down the aisle, you’ll be overwhelmed by the love and authentic emotion that can be captured through the use of custom ceremony signs.","https://proposalperfectionnyc.com/wp-content/uploads/2023/01/cermonal-signs.gif","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=26390","Proposal Perfection NYC (CORRECT)"
"customsigns","Logo Signs","Whether you need your logo to be subtly displayed throughout your event, or you need a larger-than-life logo presence, we can create custom logo signs to make your event shine. We offer logo signs for weddings, logo signs for corporate events, and much more.","https://proposalperfectionnyc.com/wp-content/uploads/2023/01/44252-decor-wedding-bar-sign-gold-1-opt_860x.gif","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=26390","Proposal Perfection NYC (CORRECT)"
"customsigns","Table Signs","Your event isn’t basic, and your table signs shouldn’t be, either! Elevate your event tables with a statement-making table sign centerpiece that can also serve as a keepsake. Modern events call for outside-the-box creativity, and our table signs are beautiful works of art.","https://proposalperfectionnyc.com/wp-content/uploads/2023/01/table-sign-5.jpg","Inquire Now","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=26390","Proposal Perfection NYC (CORRECT)"
"customsigns","Connect With Us","Contact us today—we’d love to hear how we can help turn your event’s ambiance into a true work of art with our event rentals NYC and our exquisite flower wall rentals. Our team of experienced design specialists is committed to curating stunning elements that will make your event unforgettable. Let us bring your vision to life with creativity and elegance!","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/titles-copy.png","Lets Chat!","https://proposal-perfection-nyc.checkcherry.com/contact/11423","Proposal Perfection NYC (CORRECT)"
"event-rental-new-york","Event Rentals NYC","","https://proposalperfectionnyc.com/wp-content/uploads/2025/03/Wow-Your-Guest.png","Inquire Now","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?package_group_id=32605","Flower Wall Rentals (Atlanta) — WRONG BRAND"
